year,treatment,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,top_depth,bottom_depth,depth,n_percent,c_percent
2013,TCF,3,4,1,50-end,63,2873.031406,1.619486104,0.857419795,50,113,122,0.012433333,0.075633333
2013,TCF,3,4,1,25-50,25,1140.091828,1.454590197,1.597041532,25,50,50,0.022033333,0.177866667
2013,TCF,3,4,1,25-Oct,15,684.0550968,1.413554497,1.442760977,10,25,25,0.0615,0.685933333
2013,TCF,3,5,1,25-50,25,1140.091828,1.462291674,1.5392304,25,50,50,0.0371,0.2655
2013,TCF,3,5,1,25-Oct,15,684.0550968,1.385711767,1.411184574,10,25,25,0.0643,0.7154
2013,TCF,3,5,1,0-10,10,456.0367312,0.97483427,0.994257631,0,10,10,0.0942,1.205
2013,TSF,2,2,1,0-10,10,456.0367312,0.952301675,0.944744076,0,10,10,0.1228,1.556466667
2013,TSF,2,1,2,50-end,69,3146.653445,1.641706623,0.852920109,50,119,122,0.0092,0.055066667
2013,TSF,2,1,2,25-50,25,1140.091828,1.522627453,1.606724963,25,50,50,0.0251,0.1647
2013,TSF,2,1,2,25-Oct,15,684.0550968,1.378706054,1.469688633,10,25,25,0.03545,0.3901
2013,TSF,2,1,2,0-10,10,456.0367312,1.249685322,1.336751973,0,10,10,0.1088,1.304033333
2013,TSF,2,1,1,50-end,67,3055.446099,1.594015315,0.794703595,50,117,122,0.0173,0.0851
2013,TSF,2,1,1,25-50,25,1140.091828,1.483667639,1.575201186,25,50,50,0.027066667,0.226033333
2013,TSF,2,1,1,25-Oct,15,684.0550968,1.307395485,1.363205982,10,25,25,0.044066667,0.441033333
2013,TSF,2,1,1,0-10,10,456.0367312,1.13456146,1.173673004,0,10,10,0.091166667,1.072866667
2013,TDF,3,5,2,50-end,65,2964.238753,1.57941501,0.870764542,50,115,122,0.017166667,0.150233333
2013,TDF,3,5,2,25-50,25,1140.091828,1.54592269,1.591550747,25,50,50,0.0264,0.307266667
2013,TDF,3,5,2,25-Oct,15,684.0550968,1.331146935,1.365428025,10,25,25,0.060933333,0.727666667
2013,TDF,3,5,2,0-10,10,456.0367312,0.954708827,0.978973774,0,10,10,0.175933333,2.294
2013,TDF,3,5,1,50-end,66,3009.842426,1.559628811,0.877934332,50,116,122,0.020166667,0.093933333
2013,TDF,3,5,1,25-50,25,1140.091828,1.401978474,1.482252533,25,50,50,0.039733333,0.4267
2013,TDF,3,5,1,25-Oct,15,684.0550968,1.373593588,1.448301467,10,25,25,0.05,0.5595
2013,TDF,3,5,1,0-10,10,456.0367312,1.124460543,1.133807794,0,10,10,0.167633333,1.942566667
2013,TDF,3,4,2,50-end,66,3009.842426,1.622492481,0.810641773,50,116,122,0.0155,0.1468
2013,TDF,3,4,2,25-50,25,1140.091828,1.491526449,1.584639023,25,50,50,0.028566667,0.25
2013,TDF,3,4,2,25-Oct,15,684.0550968,1.317620515,1.344084715,10,25,25,0.061433333,0.743366667
2013,TDF,3,4,2,0-10,10,456.0367312,1.127915604,1.153433406,0,10,10,0.164766667,2.154933333
2013,TDF,3,4,1,50-end,67,3055.446099,1.583554183,0.869203355,50,117,122,0.0171,0.16135
2013,TDF,3,4,1,25-50,25,1140.091828,1.528184123,1.577543103,25,50,50,0.012166667,0.1189
2013,TDF,3,4,1,25-Oct,15,684.0550968,1.322953514,1.318969779,10,25,25,0.054333333,0.6547
2013,TDF,3,4,1,0-10,10,456.0367312,1.090930484,1.10144198,0,10,10,0.202533333,2.865566667
2013,TDF,3,3,2,50-end,59,2690.616714,1.434857638,1.076420133,50,109,122,0.005766667,0.07215
2013,TDF,3,3,2,25-50,25,1140.091828,1.517282932,1.597646747,25,50,50,0.016933333,0.204233333
2013,TDF,3,3,2,25-Oct,15,684.0550968,1.257528368,1.338485751,10,25,25,0.071666667,0.9133
2013,TDF,3,3,2,0-10,10,456.0367312,1.077765841,1.075588799,0,10,10,0.1803,2.382533333
2013,TDF,3,3,1,50-end,63,2873.031406,1.563330392,0.932476406,50,113,122,0.026833333,0.311033333
2013,TDF,3,3,1,25-50,25,1140.091828,1.436024635,1.4836647,25,50,50,0.046233333,0.6131
2013,TDF,3,3,1,25-Oct,15,684.0550968,1.271170356,1.228684654,10,25,25,0.1287,1.7776
2013,TDF,3,3,1,0-10,10,456.0367312,0.945400164,0.967286119,0,10,10,0.2774,4.43185
2013,TDF,3,2,2,25-50,25,1140.091828,1.489657555,1.51004854,25,50,50,0.0334,0.2533
2013,TDF,3,2,2,25-Oct,15,684.0550968,1.215494587,1.229284021,10,25,25,0.0477,0.543866667
2013,TDF,3,2,2,0-10,10,456.0367312,1.463168285,1.470929761,0,10,10,0.1845,2.1679
2013,TDF,3,2,1,50-end,66,3009.842426,1.594845014,0.796019745,50,116,122,0.0163,0.1141
2013,TDF,3,2,1,25-50,25,1140.091828,1.510577927,1.541914394,25,50,50,0.0369,0.3286
2013,TDF,3,2,1,25-Oct,15,684.0550968,1.254869876,1.348631133,10,25,25,0.065866667,0.8366
2013,TDF,3,2,1,0-10,10,456.0367312,1.156756108,1.164353579,0,10,10,0.1794,2.106066667
2013,TDF,3,1,2,50-end,63,2873.031406,1.498015022,0.94714036,50,113,122,0.0083,0.1295
2013,TDF,3,1,2,25-50,25,1140.091828,1.475379192,1.509066163,25,50,50,0.032466667,0.3651
2013,TDF,3,1,2,25-Oct,15,684.0550968,1.271584173,1.288635965,10,25,25,0.123533333,1.392466667
2013,TDF,3,1,2,0-10,10,456.0367312,0.904309928,0.889309944,0,10,10,0.2812,3.484333333
2013,TDF,3,1,1,50-end,63,2873.031406,1.608171797,0.829317074,50,113,122,0.0048,0.053333333
2013,TDF,3,1,1,25-50,25,1140.091828,1.592472076,1.617881959,25,50,50,0.006333333,0.1061
2013,TDF,3,1,1,25-Oct,15,684.0550968,1.390633951,1.437322819,10,25,25,0.060066667,0.7128
2013,TDF,3,1,1,0-10,10,456.0367312,1.241622986,1.240992142,0,10,10,0.1697,2.173066667
2013,TDF,3,2,2,50-end,65,2964.238753,1.596928741,0.820650495,50,115,122,0.014333333,0.074866667
2013,TSF,3,5,2,50-end,67,3055.446099,1.657279583,0.653522902,50,117,122,0.015533333,0.0599
