year,sample_date,treatment,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,top_depth,bottom_depth,depth,n,c
2013,9/25/2013,TCF,R3,S4,C1,0-10cm,10,456.0367312,1.155500463,1.168585694,0,10,10,0.0773,0.91
2013,9/25/2013,TCF,R3,S3,C2,50-end cm,68,3101.049772,1.59982471,0.878716628,50,118,122,0.0099,0.0377
2013,9/25/2013,TCF,R3,S3,C2,25-50cm,25,1140.091828,1.484547099,1.588857981,25,50,50,0.024666667,0.224533333
2013,9/25/2013,TCF,R3,S3,C2,10-25cm,15,684.0550968,1.312841857,1.352446615,10,25,25,0.078833333,0.812566667
2013,9/25/2013,TCF,R3,S3,C2,0-10cm,10,456.0367312,1.106467199,1.131286067,0,10,10,0.1005,1.193066667
2013,9/25/2013,TCF,R3,S3,C1,50-end cm,64,2918.63508,1.579937223,0.885740742,50,114,122,0.015733333,0.047633333
2013,9/25/2013,TCF,R3,S3,C1,25-50cm,25,1140.091828,1.55583468,1.610479047,25,50,50,0.023933333,0.17685
2013,9/25/2013,TCF,R3,S3,C1,10-25cm,15,684.0550968,1.379317667,1.413918271,10,25,25,0.059666667,0.684866667
2013,9/25/2013,TCF,R3,S3,C1,0-10cm,10,456.0367312,1.257636459,1.283181726,0,10,10,0.0949,1.274033333
2013,9/25/2013,TCF,R3,S2,C2,50-end cm,64,2918.63508,1.641199972,0.80449386,50,114,122,0.015766667,0.0676
2013,9/25/2013,TCF,R3,S5,C1,50-end cm,68,3101.049772,1.614673809,0.960079399,50,118,122,0.013766667,0.072633333
2013,9/25/2013,TCF,R3,S2,C2,25-50cm,25,1140.091828,1.577377696,1.641994052,25,50,50,0.029566667,0.20865
2013,9/25/2013,TCF,R3,S2,C2,10-25cm,15,684.0550968,1.408844676,1.489321554,10,25,25,0.0517,0.476066667
2013,9/25/2013,TCF,R3,S2,C2,0-10cm,10,456.0367312,1.50606253,1.54671313,0,10,10,0.088666667,0.999
2013,9/25/2013,TCF,R3,S2,C1,50-end cm,62,2827.427733,1.654793649,0.877049472,50,112,122,0.011833333,0.1102
2013,9/25/2013,TCF,R3,S2,C1,25-50cm,25,1140.091828,1.47199774,1.548370014,25,50,50,0.0215,0.1691
2013,9/25/2013,TCF,R3,S2,C1,10-25cm,15,684.0550968,1.376327486,1.42827384,10,25,25,0.067133333,0.773566667
2013,9/25/2013,TCF,R3,S2,C1,0-10cm,10,456.0367312,0.931614851,0.963448709,0,10,10,0.111466667,1.541866667
2013,9/25/2013,TCF,R3,S1,C2,50-end cm,61,2781.82406,1.602300617,0.837800648,50,111,122,0.010166667,0.12405
2013,9/25/2013,TCF,R3,S1,C2,25-50cm,25,1140.091828,1.584781176,1.631319473,25,50,50,0.035333333,0.315833333
2013,9/25/2013,TCF,R3,S1,C2,10-25cm,15,684.0550968,1.33501538,1.362387335,10,25,25,0.043166667,0.476166667
