# Soil Bulk Density by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/308
# The newest version of the data https://lter.kbs.msu.edu/datatables/308.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		sample year
# treatment		treatment that was sampled
# replicate		replicate plot that was sampled
# station		station within the plot that was sampled
# core		core identifier for the station (generally two cores were taken per station)
# section		horizon section (cores were divided into surface, middle and deep sections)
# horizon_length	centimeter	length of the horizon sampled
# total_bulk_density	gramsPerCubicCentimeter	bulk density (including any gravel)
# comments		any observations relating to this core
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,comments
#,,,,,,centimeter,gramsPerCubicCentimeter,
2013,TSF,1,4,2,10-25cm,15,1.3169377792, 
2013,TSF,1,4,2,0-10cm,10,0.9943891994, 
2013,TSF,1,4,1,50-end cm,62,0.7851921285, 
2013,TSF,1,4,1,25-50cm,25,1.6181626381,Spilled small amount of soil 
2013,TSF,1,4,1,10-25cm,15,1.4764424748, 
2013,TSF,1,4,1,0-10cm,10,1.1272951603,Lots of roots 
2013,TSF,1,3,2,50-end cm,66,0.8675583737, 
2013,TSF,1,3,2,25-50cm,25,1.6157768653, 
2013,TSF,1,3,2,10-25cm,15,1.420394358, 
2013,TSF,1,3,2,0-10cm,10,1.0404381216, 
2013,TSF,1,3,1,50-end cm,65,1.0476598746, 
2013,TSF,1,3,1,25-50cm,25,1.6304423507, 
2013,TSF,1,3,1,10-25cm,15,1.3766990472, 
2013,TSF,1,3,1,0-10cm,10,1.0407451145, 
2013,TSF,1,2,2,50-end cm,62,0.8437117497, 
2013,TSF,1,2,2,25-50cm,25,1.4819981676, 
2013,TSF,1,2,2,10-25cm,15,1.3969167169, 
2013,TSF,1,2,2,0-10cm,10,1.1096869296, 
2013,TSF,1,2,1,50-end cm,64,0.9896694589, 
2013,TSF,1,2,1,25-50cm,25,1.5166444997, 
2013,TSF,1,2,1,10-25cm,15,1.3144818367, 
2013,TSF,1,2,1,0-10cm,10,0.9300522765, 
2013,TSF,1,1,2,50-end cm,72,0.912549544, 
2013,TSF,1,1,2,25-50cm,25,1.5110309168, 
2013,TSF,1,1,2,10-25cm,15,1.3206509304, 
2013,TSF,1,1,2,0-10cm,10,0.9836005947, 
2013,TSF,1,1,1,50-end cm,64,0.9172520466, 
2013,TSF,1,1,1,25-50cm,25,1.6376084401, 
2013,TSF,1,1,1,10-25cm,15,1.390908429, 
2013,TSF,1,1,1,0-10cm,10,0.9639969106, 
2013,TDF,3,5,2,50-end cm,65,0.870764542,Dropped some soil on ground when putting into bag initially  
2013,TDF,3,5,2,25-50cm,25,1.5915507466, 
2013,TDF,3,5,2,10-25cm,15,1.3654280253, 
2013,TDF,3,5,2,0-10cm,10,0.9789737744, 
2013,TDF,3,5,1,50-end cm,66,0.8779343321, 
2013,TDF,3,5,1,25-50cm,25,1.4822525331, 
2013,TDF,3,5,1,10-25cm,15,1.4483014667, 
2013,TDF,3,5,1,0-10cm,10,1.1338077936, 
2013,TDF,3,4,2,50-end cm,66,0.8106417728, 
2013,TDF,3,4,2,25-50cm,25,1.5846390226, 
2013,TDF,3,4,2,10-25cm,15,1.3440847153, 
2013,TDF,3,4,2,0-10cm,10,1.1534334057, 
2013,TDF,3,4,1,50-end cm,67,0.8692033549, 
2013,TDF,3,4,1,25-50cm,25,1.577543103, 
2013,TDF,3,4,1,10-25cm,15,1.3189697793, 
2013,TDF,3,4,1,0-10cm,10,1.1014419797, 
2013,TDF,3,3,2,50-end cm,59,1.0764201326, 
2013,TDF,3,3,2,25-50cm,25,1.5976467468, 
2013,TDF,3,3,2,10-25cm,15,1.3384857511, 
2013,TDF,3,3,2,0-10cm,10,1.075588799, 
2013,TDF,3,3,1,50-end cm,63,0.9324764059, 
2013,TDF,3,3,1,25-50cm,25,1.4836647001, 
2013,TDF,3,3,1,10-25cm,15,1.2286846541, 
2013,TDF,3,3,1,0-10cm,10,0.9672861194, 
2013,TDF,3,2,2,50-end cm,65,0.8206504951, 
2013,TDF,3,2,2,25-50cm,25,1.5100485397, 
2013,TDF,3,2,2,10-25cm,15,1.2292840211, 
2013,TDF,3,2,2,0-10cm,10,1.470929761, 
2013,TDF,3,2,1,50-end cm,66,0.7960197449, 
2013,TDF,3,2,1,25-50cm,25,1.541914394, 
2013,TDF,3,2,1,10-25cm,15,1.3486311327, 
2013,TDF,3,2,1,0-10cm,10,1.1643535788, 
2013,TDF,3,1,2,50-end cm,63,0.9471403598, 
2013,TDF,3,1,2,25-50cm,25,1.5090661627, 
2013,TDF,3,1,2,10-25cm,15,1.2886359654, 
2013,TDF,3,1,2,0-10cm,10,0.8893099443, 
2013,TDF,3,1,1,50-end cm,63,0.8293170742, 
2013,TDF,3,1,1,25-50cm,25,1.6178819589, 
2013,TDF,3,1,1,10-25cm,15,1.4373228189, 
2013,TDF,3,1,1,0-10cm,10,1.2409921423, 
2013,TDF,2,5,2,50-end cm,68,0.8971652197, 
2013,TDF,2,5,2,25-50cm,25,1.5501681151, 
2013,TDF,2,5,2,10-25cm,15,1.1441300616, 
2013,TDF,2,5,2,0-10cm,10,1.3255686629, 
2013,TDF,2,5,1,50-end cm,69,0.8152674086, 
2013,TDF,2,5,1,25-50cm,25,1.3323874119, 
2013,TDF,2,5,1,10-25cm,15,1.2255708699, 
2013,TDF,2,5,1,0-10cm,10,1.1473593336, 
2013,TDF,2,4,2,50-end cm,61,1.0907246232, 
2013,TDF,2,4,2,25-50cm,25,1.4579387021, 
2013,TDF,2,4,2,10-25cm,15,1.375368745, 
2013,TDF,2,4,2,0-10cm,10,0.9925472425, 
2013,TDF,2,4,1,50-end cm,58,0.7835061559, 
2013,TDF,2,4,1,25-50cm,25,1.3903915116, 
2013,TDF,2,4,1,10-25cm,15,1.2605826695, 
2013,TDF,2,4,1,0-10cm,10,1.2768883736, 
2013,TDF,2,3,2,50-end cm,61,0.9014890754, 
2013,TDF,2,3,2,25-50cm,25,1.4160736534, 
2013,TDF,2,3,2,10-25cm,15,1.2649828999, 
2013,TDF,2,3,2,0-10cm,10,1.0304827832, 
2013,TDF,2,3,1,50-end cm,60,0.8136786095,forgot to weigh 2nd wet unsieved 
2013,TDF,2,3,1,25-50cm,25,1.3697966793, 
