year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,
2001,TDF,3,1,1,Deep,49,1.355675578,
2001,TDF,2,5,2,Surface,18,1.08160666,comp
2001,TDF,2,5,2,Middle,18,1.278843771,mold
2001,TDF,2,5,2,Deep,52,1.397804856,
2001,TDF,2,5,1,Surface,15,1.032193724,comp
2001,TDF,2,5,1,Middle,36,1.28050469,
2001,TDF,2,5,1,Deep,39,1.415157377,
2001,TDF,2,4,2,Surface,19,1.045816138,comp
2001,TDF,2,4,2,Middle,40,1.319009383,
2001,TDF,2,4,2,Deep,35,1.42426782,
2001,TDF,2,4,1,Surface,22,1.076989171,
2001,TDF,2,4,1,Middle,57,1.420670726,
2001,TDF,2,4,1,Deep,21,1.490370867,
2001,TDF,2,3,2,Surface,20,1.052615133,comp
2001,TDF,2,3,2,Middle,27,1.231185046,
2001,TDF,2,3,2,Deep,43,1.422154617,
2001,TDF,2,3,1,Surface,12,1.059786667,comp
2001,TDF,2,3,1,Middle,19,1.17869133,
2001,TDF,2,3,1,Deep,59,1.396551845,
2001,TDF,2,2,2,Surface,16,0.952503704,comp
2001,TDF,2,2,2,Middle,29,1.237014086,
2001,TDF,2,2,2,Deep,52,1.394327102,
2001,TDF,2,2,1,Surface,23,1.01426333,
2001,TDF,2,2,1,Middle,20,1.073555629,
2001,TDF,2,2,1,Deep,57,1.401689995,
2001,TDF,2,1,2,Surface,15,1.063444197,12.5 cm comp
2001,TDF,2,1,2,Middle,60,1.421711343,
2001,TDF,2,1,2,Deep,12.5,1.609206044,
2001,TDF,2,1,1,Surface,18,1.121044514,comp
2001,TDF,2,1,1,Middle,37,1.434297686,
2001,TDF,2,1,1,Deep,39,1.438452809,
2001,TDF,1,5,2,Surface,17,1.004828032,
2001,TDF,1,5,2,Middle,33,1.387190948,fungi
2001,TDF,1,5,2,Deep,50,1.419426307,
2001,TDF,1,5,1,Surface,6,1.037623805,
2001,TDF,1,5,1,Middle,34,1.227803828,
2001,TDF,1,5,1,Deep,60,1.383476399,
2001,TDF,1,4,2,Surface,13,1.12870232,
2001,TDF,1,4,2,Middle,30,1.331996365,
2001,TDF,1,4,2,Deep,57,1.362862842,
2001,TDF,1,4,1,Surface,20,1.139075411,
2001,TDF,1,4,1,Middle,27,1.557638405,
2001,TDF,1,4,1,Deep,53,1.349209508,
2001,TDF,1,3,2,Surface,17,0.920400763,
2001,TDF,1,3,2,Middle,24,1.228854736,
2001,TDF,1,3,2,Deep,55,1.449075513,comp
2001,TDF,1,3,1,Surface,12,1.202595393,
2001,TDF,1,3,1,Middle,41,1.342597362,
2001,TDF,1,3,1,Deep,47,1.344410784,
2001,TDF,1,2,2,Surface,9,1.378251721,
2001,TDF,1,2,2,Middle,55,1.402499905,
2001,TDF,1,2,2,Deep,36,1.290065937,
2001,TDF,1,2,1,Surface,11,1.018345606,
2001,TDF,1,2,1,Middle,55,1.412922528,
2001,TDF,1,2,1,Deep,34,1.509994377,
2001,TDF,1,1,2,Surface,15,1.082982918,
2001,TDF,1,1,2,Middle,30,1.41689699,fungi
2001,TDF,1,1,2,Deep,55,1.377896877,
2001,TDF,1,1,1,Surface,24,1.14879095,
2001,TDF,1,1,1,Middle,44,1.484215201,
2001,TDF,1,1,1,Deep,32,1.346828917,
2001,TCF,3,5,2,Surface,21,1.289133244,
2001,TCF,3,5,2,Middle,32,1.476379396,
2001,TCF,3,5,2,Deep,47,1.483001668,
2001,TCF,3,5,1,Surface,20,1.2435626,
2001,TCF,3,5,1,Middle,33,1.487033102,
2001,TCF,3,5,1,Deep,47,1.393856531,
2001,TCF,3,4,2,Surface,19,1.299767144,
2001,TCF,3,4,2,Middle,32,1.513245935,
2001,TCF,3,4,2,Deep,49,1.452142865,
2001,TCF,3,4,1,Surface,19,1.248958813,
2001,TCF,3,4,1,Middle,15,1.511782265,
2001,TCF,3,4,1,Deep,66,1.420277253,
2001,TCF,3,3,2,Surface,21,1.243423516,
2001,TCF,3,3,2,Middle,21,1.584442142,
2001,TCF,3,3,2,Deep,58,1.464227694,
2001,TCF,3,3,1,Surface,19,1.219875841,
2001,TCF,3,3,1,Middle,17,1.523143924,
2001,TCF,3,3,1,Deep,59,1.519634211,comp
2001,TCF,3,2,2,Surface,18,1.115080196, 
2001,TCF,3,2,2,Middle,5,1.270581437,
2001,TCF,3,2,2,Deep,77,1.387100301,
2001,TCF,3,2,1,Surface,25,1.168080653,comp
2001,TCF,3,2,1,Middle,9,1.777382575,
2001,TCF,3,2,1,Deep,63,1.458630126,
2001,TCF,3,1,2,Surface,21,1.263148138,
2001,TCF,3,1,2,Middle,33,1.502219061,
2001,TCF,3,1,2,Deep,46,1.392045297,
2001,TCF,3,1,1,Surface,27,1.235894837,
2001,TCF,3,1,1,Middle,22,1.550313004,
2001,TCF,3,1,1,Deep,51,1.457103789,
2001,TCF,2,5,2,Surface,26,1.21233292,
2001,TCF,2,5,2,Middle,31,1.435716382,
2001,TCF,2,5,2,Deep,43,1.539986419,
2001,TCF,2,5,1,Surface,28,1.250390354,
2001,TCF,2,5,1,Middle,26,1.602757735,
2001,TCF,2,5,1,Deep,46,1.495290671,
2001,TCF,2,4,2,Surface,12,1.243486052,
2001,TCF,2,4,2,Middle,35,1.505541466,
2001,TCF,2,4,2,Deep,53,1.442614837,
2001,TCF,2,4,1,Surface,10,1.112871804,
2001,TCF,2,4,1,Middle,41,1.407743626,
2001,TCF,2,4,1,Deep,49,1.46169762,
2001,TCF,2,3,2,Surface,15,1.151309119,
2001,TCF,2,3,2,Middle,41,1.464748094,
2001,TCF,2,3,2,Deep,44,1.521948933,
2001,TCF,2,3,1,Surface,17,1.134802125,
2001,TCF,2,3,1,Middle,35,1.47082449,
2001,TCF,2,3,1,Deep,48,1.466524219,
